DATA UMKM	Unnamed: 1
Nama Usaha	HRA BENGKEL MOBIL <HERI>
Nomor Surat Ijin	
Tanggal Mulai Usaha	17/08/1945
NPWP	
Status Usaha	Aktif
Alamat	H NAWI RAYA 1A/15 JL
Kelurahan / Desa	Gandaria Utara
Kecamatan	Kebayoran Baru
Kabupaten	Kota Jakarta Selatan
Provinsi	DKI Jakarta
Kodepos	12140
No Telpon	
No Telpon Kantor	
Faksimili	0217268695
Email	HRA.HUMANCAPITAL@GMAIL.COM
Website	WWW.HRAGROUP.CO.ID
Bentuk Usaha	
Sektor Usaha	Jasa Lainnya
Skala Usaha	
DATA USAHA	
Jumlah Tenaga Kerja Pria	0
Jumlah Tenaga Kerja Wanita	0
Jumlah Tenaga Kerja	0
Jumlah Karyawan Pria	0
Jumlah Karyawan Wanita	0
Total Karyawan	0
DATA LAINNYA	
ID UMKM	317106005003817
Grade	E
	Edit Data UMKM
