web-scraper-order,web-scraper-start-url,halaman_pencarian,judul,excerpt,author,link_pencarian,link_pencarian-href
"1700584788-1","https://scholar.google.com/scholar?hl=en&as_sdt=0%2C5&as_ylo=2023&as_yhi=2023&q=kecerdasan+buatan+untuk+deteksi+penyakit+hewan&btnG=","","Penerapan Metode Certainty dalam Deteksi Penyakit Sapi Potong","… kecerdasan buatan atau Artificial Intelligent sudah sangat banyak diterapkan diberbagai 

bidang, salah satunya pada bidang kesehatan hewan. … Kecerdasan buatan memiliki cakupan …","MGA Awidani, E Rianti, SN Rahman - Jurnal KomtekInfo, 2023 - jkomtekinfo.org","[PDF] jkomtekinfo.org","https://jkomtekinfo.org/ojs/index.php/komtekinfo/article/download/347/165"
"1700584788-2","https://scholar.google.com/scholar?hl=en&as_sdt=0%2C5&as_ylo=2023&as_yhi=2023&q=kecerdasan+buatan+untuk+deteksi+penyakit+hewan&btnG=","","Analisis Perbandingan Model CNN VGG16 dan DenseNet121 menggunakan Kerangka Kerja TensorFlow untuk Deteksi Jenis Hewan","… Deteksi objek merupakan salah satu topik dalam kecerdasan buatan yang terus dipelajari … 

dibanding model CNN lainya dalam mendeteksi penyakit tuberculosis pada rontgen dada[4]. …","WW Kusuma, RR Isnanto, A Fauzi - Jurnal Teknik Komputer, 2023 - ejournal3.undip.ac.id","[PDF] undip.ac.id","https://ejournal3.undip.ac.id/index.php/jtk/article/download/37009/28851"
"1700584788-3","https://scholar.google.com/scholar?hl=en&as_sdt=0%2C5&as_ylo=2023&as_yhi=2023&q=kecerdasan+buatan+untuk+deteksi+penyakit+hewan&btnG=","","IMPLEMENTASI SISTEM PAKAR DIAGNOSA PENYAKIT MULUT PADA KUCING DENGAN METODE CERTAINTY FACTOR","… ini masih sedikitnya klinik atau rumah sakit hewan yang ditemukan di daerah sekitar dan … 

penyakit kulit kucing sebagai langkah awal untuk menerapkan kecerdasan buatan dalam …","V Teresia, F Razi, M Syamsu - JOURNAL OF SCIENCE …, 2023 - jurnal.goretanpena.com","[PDF] goretanpena.com","https://jurnal.goretanpena.com/index.php/JSSR/article/download/1323/970"
"1700584788-4","https://scholar.google.com/scholar?hl=en&as_sdt=0%2C5&as_ylo=2023&as_yhi=2023&q=kecerdasan+buatan+untuk+deteksi+penyakit+hewan&btnG=","","Analisis Tingkat Akurasi Prediksi Gejala COVID-19 Dengan Menggunakan Metode Logistic Regression dan Support Vector Machine","… , dan virus tersebut terdeteksi pertama kali dari hewan-hewan liar di pasar Kota Wuhan, … 

alat pendeteksi penyakit. Seluruh rumah sakit saat ini berteknologi kecerdasan buatan untuk …","BTP Briandy, E Yulianingsih - JURNAL FASILKOM, 2023 - ejurnal.umri.ac.id","[PDF] umri.ac.id","https://ejurnal.umri.ac.id/index.php/JIK/article/download/5629/2452"
"1700584788-5","https://scholar.google.com/scholar?hl=en&as_sdt=0%2C5&as_ylo=2023&as_yhi=2023&q=kecerdasan+buatan+untuk+deteksi+penyakit+hewan&btnG=","","Analisis Sistem Deteksi Penyakit pada Burung Merpati menggunakan Metode Forward Chaining","… deteksi penyakit pada burung merpati yang dapat membantu pemilik burung merpati atau 

petugas kesehatan hewan dalam mengidentifikasi penyakit … dalam kecerdasan buatan yang …","A Sya'bani, DH Razak, MI Al-Huda… - Buletin Ilmiah Ilmu …, 2023 - jurnalmahasiswa.com","[PDF] jurnalmahasiswa.com","http://jurnalmahasiswa.com/index.php/biikma/article/download/225/292"
"1700584788-6","https://scholar.google.com/scholar?hl=en&as_sdt=0%2C5&as_ylo=2023&as_yhi=2023&q=kecerdasan+buatan+untuk+deteksi+penyakit+hewan&btnG=","","Sistem Pakar Diagnosa Penyakit pada Kucing dengan Metode Certainty Factor Berbasis Web","… kendala untuk mengunjungi seorang pakar hewan khususnya kucing dalam mendeteksi 

maupun mendiagnosa penyakit kucing nya dengan membangun sistem pakar diagnosa …","FK Wardana, LD Bakti… - … Kecerdasan Buatan dan …, 2023 - ojs.ninetyjournal.com","[PDF] ninetyjournal.com","https://ojs.ninetyjournal.com/index.php/JKBTI/article/download/14/10"
"1700584788-7","https://scholar.google.com/scholar?hl=en&as_sdt=0%2C5&as_ylo=2023&as_yhi=2023&q=kecerdasan+buatan+untuk+deteksi+penyakit+hewan&btnG=","","Aplikasi Android Untuk Deteksi Penyakit Kucing Dengan Metode Forward Chaining","… tentang macam-macam penyakit yang ada pada kucing dan lokasi dokter hewan yang jauh 

dan mahalnya berkonsultasi ke dokter hewan. Kecerdasan buatan atau Artificial Intelegence …","A Yulianto, PS Darma… - … TEKNOLOGI & SAINS …, 2023 - proceeding.unpkediri.ac.id","[PDF] unpkediri.ac.id","https://proceeding.unpkediri.ac.id/index.php/stains/article/download/2864/2029"
"1700584788-8","https://scholar.google.com/scholar?hl=en&as_sdt=0%2C5&as_ylo=2023&as_yhi=2023&q=kecerdasan+buatan+untuk+deteksi+penyakit+hewan&btnG=","","Diagnosis Leptospirosis Menggunakan Sistem Pakar Metode Faktor Kepastian Beserta Prediksi Regresi Linear","… satu penyakit yang ditularkan dari urine hewan terinfeksi … gejala-gejala klinis yang dialami. 

Salah satu sistem informatika kesehatan yang memanfaatkan teknologi kecerdasan buatan …","R Ridlo, A Andriand - Prosiding Sains dan Teknologi, 2023 - jurnal.pelitabangsa.ac.id","[PDF] pelitabangsa.ac.id","https://jurnal.pelitabangsa.ac.id/index.php/SAINTEK/article/download/2165/1311"
"1700584788-9","https://scholar.google.com/scholar?hl=en&as_sdt=0%2C5&as_ylo=2023&as_yhi=2023&q=kecerdasan+buatan+untuk+deteksi+penyakit+hewan&btnG=","","Sistem Pakar Deteksi Penyakit Kambing Menggunakan Certainty Factor Berbasis Android","… Abstrak : Penyakit merupakan ancaman serius bagi kesehatan dan kesejahteraan hewan 

… Metode ini digunakan dalam sistem pakar atau kecerdasan buatan untuk menggabungkan …","MR Setyawan - JURNAL MAHAJANA INFORMASI, 2023 - e-journal.sari-mutiara.ac.id","[PDF] sari-mutiara.ac.id","http://e-journal.sari-mutiara.ac.id/index.php/7/article/download/4008/2717"
"1700584788-10","https://scholar.google.com/scholar?hl=en&as_sdt=0%2C5&as_ylo=2023&as_yhi=2023&q=kecerdasan+buatan+untuk+deteksi+penyakit+hewan&btnG=","","Tinjauan Literatur Sistematik pada Sistem Pakar untuk Diagnosa Penyakit Manusia","… kecerdasan buatan telah mengarah pada pengembangan sistem pakar yang dapat digunakan 

dalam diagnosis penyakit … penyakit rabies secara dini setelah terkena gigitan hewan …","ELP Zendrato, R Fadillah… - AI dan SPK: Jurnal …, 2023 - jurnalmahasiswa.com","[PDF] jurnalmahasiswa.com","https://jurnalmahasiswa.com/index.php/aidanspk/article/download/64/72"
"1700584791-11","https://scholar.google.com/scholar?hl=en&as_sdt=0%2C5&as_ylo=2023&as_yhi=2023&q=kecerdasan+buatan+untuk+deteksi+penyakit+hewan&btnG=","https://scholar.google.com/scholar?start=90&q=kecerdasan+buatan+untuk+deteksi+penyakit+hewan&hl=en&as_sdt=0,5&as_ylo=2023&as_yhi=2023","Visualisasi Data dan Penerapan Machine Learning Menggunakan Decision Tree Untuk Keputusan Layanan Kesehatan COVID-19","… berasal dari hewan dan berubah (bermutasi) sehingga dapat menyebabkan penyakit pada 

… -19, pengembangan vaksin, peran kecerdasan buatan dalam manajemen pandemic dan …","A Fahri, Y Ramdhani - Jurnal Tekno Kompak, 2023 - ejurnal.teknokrat.ac.id","[PDF] teknokrat.ac.id","https://ejurnal.teknokrat.ac.id/index.php/teknokompak/article/download/2438/1257"
"1700584791-12","https://scholar.google.com/scholar?hl=en&as_sdt=0%2C5&as_ylo=2023&as_yhi=2023&q=kecerdasan+buatan+untuk+deteksi+penyakit+hewan&btnG=","https://scholar.google.com/scholar?start=90&q=kecerdasan+buatan+untuk+deteksi+penyakit+hewan&hl=en&as_sdt=0,5&as_ylo=2023&as_yhi=2023","Mengelola kecerdasan dalam pembelajaran: sebuah konsep pembelajaran berbasis kecerdasan","… Dari riset terhadap otak hewan dan manusia kemudian dibangun postulat bahwa individu 

yang … AI yang dalam bahasa Indonesia biasa disebut sebagai “kecerdasan buatan”. Ini …","HB Uno, MK Umar - 2023 - books.google.com","Mengelola kecerdasan dalam pembelajaran: sebuah konsep pembelajaran berbasis kecerdasan","https://books.google.com/books?hl=en&lr=&id=lmmoEAAAQBAJ&oi=fnd&pg=PP1&dq=kecerdasan+buatan+untuk+deteksi+penyakit+hewan&ots=2GSv_ZVPVH&sig=zy1b5BcWEpBlK-inMA8sjWEDojY"
"1700584791-13","https://scholar.google.com/scholar?hl=en&as_sdt=0%2C5&as_ylo=2023&as_yhi=2023&q=kecerdasan+buatan+untuk+deteksi+penyakit+hewan&btnG=","https://scholar.google.com/scholar?start=90&q=kecerdasan+buatan+untuk+deteksi+penyakit+hewan&hl=en&as_sdt=0,5&as_ylo=2023&as_yhi=2023","Deep Learning Untuk Deteksi Covid-19, Pneumonia, Dan Tuberculosis Pada Citra Rontgen Dada Menggunakan CNN Dengan Arsitektur Alexnet","… memicu penyakit pneumonia. Gejala yang dihadapi hampir sama persis seperti gejala … 

Kecerdasan buatan atau bisa kita sebut sebagai AI kini telah berkembang pesat untuk membantu …","S Septhyan, R Magdalena… - eProceedings …, 2023 - … .telkomuniversity.ac.id","[PDF] telkomuniversity.ac.id","https://openlibrarypublications.telkomuniversity.ac.id/index.php/engineering/article/view/18932/18317"
"1700584791-14","https://scholar.google.com/scholar?hl=en&as_sdt=0%2C5&as_ylo=2023&as_yhi=2023&q=kecerdasan+buatan+untuk+deteksi+penyakit+hewan&btnG=","https://scholar.google.com/scholar?start=90&q=kecerdasan+buatan+untuk+deteksi+penyakit+hewan&hl=en&as_sdt=0,5&as_ylo=2023&as_yhi=2023","SISTEM PAKAR DIAGNOSA PENYAKIT KUCING PERSIA MENGGUNAKAN METODE NAIVE BAYES","… atau kecerdasan buatan yang banyak digunakan saat ini adalah Sistem Pakar (Expert … 

Rabies adalah infeksi virus yang ditularkan melalui gigitan hewan yang terinfeksi. Infeksi …","AD Pratama - Jurnal Teknologi Pintar, 2023 - teknologipintar.org","[PDF] teknologipintar.org","http://teknologipintar.org/index.php/teknologipintar/article/download/399/385"
